"Submission Date",団体番号,団体名,食品、展示物名,食品バザー・校内レク,紹介画像,紹介文
"Oct 12, 2025",311,音楽部,ぷよぷよボールすくい,校内レク,https://2dgmtq306i.ucarecd.net/573e4088-c376-446b-9588-dd28efe3c4e9/IMG_6886.jpeg,懐かしのぷよぷよボールすくい！子供から大人までお待ちしております！
"Aug 18, 2025",312,鈴鹿高専ロボコンプロジェクト,ロボット操縦体験,校内レク,"https://2dgmtq306i.ucarecd.net/81ef7ccd-a98b-47aa-8465-0b9243a50f2e/-/crop/1706x957/0,3/-/preview/36780FF5C3C94412AFD0B7FAC730085A.jpeg",1年生ロボと地区大会ロボで体感するロボコンの魅力をぜひお楽しみください
"Jul 26, 2025",230,陸上競技部,大学芋,食品バザー,https://2dgmtq306i.ucarecd.net/c0af774f-1944-40f7-953c-5703d4fd5cda/IMG_0825.jpeg,全力疾走のウマさ！陸上部の本気大学芋🍠
"Jul 26, 2025",233,バドミントン部,浅漬けきゅうり,食品バザー,"https://2dgmtq306i.ucarecd.net/dda972aa-3d22-49a9-bb0d-c0278962c0b8/-/crop/680x382/0,28/-/preview/IMG_3548.jpeg",美味しいきゅうりです
"Jul 25, 2025",332,生物同好会,抽出液、葉脈標本など,校内レク,"https://2dgmtq306i.ucarecd.net/117d5d15-991c-4d03-9530-56637b20a17b/-/crop/1706x958/0,0/-/preview/1753410936331.jpg",同好会手づくりの植物抽出液や葉脈標本などの販売、魚や発光細菌についての展示などを行います。
"Jul 25, 2025",311,音楽部,たい焼き,食品バザー,"https://2dgmtq306i.ucarecd.net/0d97d4e0-a460-4e5e-bcb0-9b6317251ba6/-/crop/1536x863/0,80/-/preview/IMG_7846.jpeg",今年も高専祭でたい焼き出店します！ぜひ来てください！
"Jul 25, 2025",225,剣道部,わらび餅,食品バザー,"https://2dgmtq306i.ucarecd.net/aa726e91-c4d9-47dc-9960-619449f51114/-/crop/1121x630/1,0/-/preview/20250725202104.png",今年度も剣道部はわらび餅を提供させていただきます。ぜひご購入ください。
"Jul 25, 2025",225,剣道部,わらび餅,食品バザー,"https://2dgmtq306i.ucarecd.net/447c638a-84c7-4188-b4e8-590df4f4675d/-/crop/1121x630/1,0/-/preview/20250725202104.png",今年度も剣道部はわらび餅を提供させていただきます。抹茶、チョコ等様々な味付けを用意していますのでぜひ
"Jul 25, 2025",208,ソフトテニス部,パンケーキ串,食品バザー,"https://2dgmtq306i.ucarecd.net/9873797c-e539-41f4-af91-ec64dae64005/-/crop/1319x742/1,0/-/preview/IMG_9215.jpeg","パンケーキ3つでサンケーキ！ あなた顔を太陽のような笑顔にさせてみせます♪"
"Jul 25, 2025",323,動画同好会,オリジナルカード&シール&ナゾトキ,校内レク,https://2dgmtq306i.ucarecd.net/f697706e-e404-4202-b429-2d9f0fcfa39b/546_20250725102713.png,一般の方も、高専生も、高専のことをもっと知れる…かも？ぜひ遊びにきてください！
